Test File Name,No saturation (same subgroup),Round Robin Saturation,Chunking Saturation,"No saturation (diff. subgroup, 256 threads per workgroup)","No saturation (same subgroup, 4 threads per workgroup)",All Passed
96,P,P,F (20/20),P,F (20/20),F
97,P,P,F (20/20),P,F (20/20),F
98,P,P,F (20/20),P,F (20/20),F
99,P,P,P,P,P,P
100,P,P,F (20/20),P,F (20/20),F
101,P,P,P,P,P,P
102,P,P,P,P,P,P
103,P,P,F (20/20),P,F (20/20),F
104,P,P,F (20/20),P,F (20/20),F
105,P,P,F (20/20),P,F (20/20),F
106,P,P,F (20/20),P,F (20/20),F
107,P,P,P,P,P,P
108,P,P,F (20/20),P,F (20/20),F
109,P,P,F (20/20),P,F (20/20),F
110,P,P,P,P,P,P
111,P,P,F (20/20),P,F (20/20),F
112,P,P,F (20/20),P,F (20/20),F
113,P,P,P,P,P,P
114,P,P,F (20/20),P,F (20/20),F
115,P,P,P,P,P,P
116,P,P,P,P,P,P
117,P,P,P,P,P,P
118,P,P,P,P,P,P
119,P,P,P,P,P,P
120,P,P,P,P,P,P
121,P,P,F (20/20),P,F (20/20),F
122,P,P,P,P,P,P
123,P,P,F (20/20),P,F (20/20),F
124,P,P,P,P,P,P
125,P,P,F (20/20),P,F (20/20),F
126,P,P,P,P,P,P
127,P,P,F (20/20),P,F (20/20),F
128,P,P,P,P,P,P
129,P,P,F (20/20),P,F (20/20),F
130,P,P,F (20/20),P,F (20/20),F
131,P,P,P,P,P,P
132,P,P,F (20/20),P,F (20/20),F
133,P,P,P,P,P,P
134,P,P,P,P,P,P
135,P,P,F (20/20),P,F (20/20),F
136,P,P,F (20/20),P,F (20/20),F
137,P,P,P,P,P,P
138,P,P,F (20/20),P,F (20/20),F
139,P,P,P,P,P,P
140,P,P,P,P,P,P
141,P,P,F (20/20),P,F (20/20),F
142,P,P,P,P,P,P
143,P,P,F (20/20),P,F (20/20),F
144,P,P,F (20/20),P,F (20/20),F
145,P,P,P,P,P,P
146,P,P,F (20/20),P,F (20/20),F
147,P,P,F (20/20),P,F (20/20),F
148,P,P,F (20/20),P,F (20/20),F
149,P,P,F (20/20),P,F (20/20),F
150,P,P,F (20/20),P,F (20/20),F
151,P,P,F (20/20),P,F (20/20),F
152,P,P,F (20/20),P,F (20/20),F
153,P,P,F (20/20),P,F (20/20),F
154,P,P,F (20/20),P,F (20/20),F
155,P,P,P,P,P,P
156,P,P,P,P,P,P
157,P,P,F (20/20),P,F (20/20),F
158,P,P,F (20/20),P,F (20/20),F
159,P,P,P,P,P,P
160,P,P,F (20/20),P,F (20/20),F
161,P,P,P,P,P,P
162,P,P,F (20/20),P,F (20/20),F
163,P,P,F (20/20),P,F (20/20),F
164,P,P,F (20/20),P,F (20/20),F
165,P,P,F (20/20),P,F (20/20),F
166,P,P,F (20/20),P,F (20/20),F
167,P,P,F (20/20),P,F (20/20),F
168,P,P,P,P,P,P
169,P,P,P,P,P,P
170,P,P,P,P,P,P
171,P,P,P,P,P,P
172,P,P,P,P,P,P
Total failures:,0,0,119,0,119,119
