Test File Name,No saturation (same subgroup),Round Robin Saturation,Chunking Saturation,"No saturation (diff. subgroup, 256 threads per workgroup)","No saturation (same subgroup, 4 threads per workgroup)",All Passed
146,P,P,P,P,P,P
147,P,P,P,P,P,P
148,P,P,P,P,P,P
149,P,P,P,P,P,P
150,P,P,P,P,P,P
151,P,P,P,P,P,P
152,P,P,P,P,P,P
153,P,P,P,P,P,P
154,P,P,P,P,P,P
155,P,P,P,P,P,P
156,P,P,P,P,P,P
157,P,P,P,P,P,P
158,P,P,P,P,P,P
159,P,P,P,P,P,P
160,P,P,P,P,P,P
161,P,P,P,P,P,P
162,P,P,P,P,P,P
163,P,P,P,P,P,P
164,P,P,F (20/20),P,F (20/20),F
165,P,P,P,P,P,P
166,P,P,P,P,P,P
167,P,P,P,P,P,P
168,P,P,P,P,P,P
169,P,P,P,P,P,P
170,P,P,P,P,P,P
171,P,P,P,P,P,P
172,P,P,P,P,P,P
173,P,P,P,P,P,P
174,P,P,P,P,P,P
175,P,P,P,P,P,P
Total failures:,0,0,40,0,40,40
